Package,Version,Location,Installer
kiwisolver,1.1.0,d:\programfiles\python37\lib\site-packages,pip
lazy-object-proxy,1.4.2,d:\programfiles\python37\lib\site-packages,pip
lesscpy,0.13.0,d:\programfiles\python37\lib\site-packages,pip
litecli,1.2.0,d:\programfiles\python37\lib\site-packages,pip
llvmlite,0.30.0,d:\programfiles\python37\lib\site-packages,pip
lxml,4.4.1,d:\programfiles\python37\lib\site-packages,pip
Markdown,3.1.1,d:\programfiles\python37\lib\site-packages,pip
MarkupSafe,1.1.1,d:\programfiles\python37\lib\site-packages,pip
matplotlib,3.2.1,d:\programfiles\python37\lib\site-packages,pip
mccabe,0.6.1,d:\programfiles\python37\lib\site-packages,pip
mido,1.2.9,d:\programfiles\python37\lib\site-packages,pip
missingno,0.4.2,d:\programfiles\python37\lib\site-packages,pip
mistune,0.8.4,d:\programfiles\python37\lib\site-packages,pip
more-itertools,7.2.0,d:\programfiles\python37\lib\site-packages,pip
multidict,4.5.2,d:\programfiles\python37\lib\site-packages,pip
nbconvert,5.6.1,d:\programfiles\python37\lib\site-packages,pip
nbformat,5.0.5,d:\programfiles\python37\lib\site-packages,pip
networkx,2.3,d:\programfiles\python37\lib\site-packages,pip
nltk,3.4.5,d:\programfiles\python37\lib\site-packages,pip
notebook,6.0.3,d:\programfiles\python37\lib\site-packages,pip
numba,0.46.0,d:\programfiles\python37\lib\site-packages,pip
numpy,1.17.2,d:\programfiles\python37\lib\site-packages,pip
opencv-python,4.1.1.26,d:\programfiles\python37\lib\site-packages,pip
openpyxl,3.0.3,d:\programfiles\python37\lib\site-packages,pip
packaging,19.1,d:\programfiles\python37\lib\site-packages,pip
pandas,1.0.3,d:\programfiles\python37\lib\site-packages,pip
pandas-profiling,2.3.0,d:\programfiles\python37\lib\site-packages,pip
pandocfilters,1.4.2,d:\programfiles\python37\lib\site-packages,pip
pangu,4.0.6.1,d:\programfiles\python37\lib\site-packages,pip
parsel,1.5.2,d:\programfiles\python37\lib\site-packages,pip
parso,0.6.2,d:\programfiles\python37\lib\site-packages,pip
patsy,0.5.1,d:\programfiles\python37\lib\site-packages,pip
pefile,2019.4.18,d:\programfiles\python37\lib\site-packages,pip
phik,0.9.8,d:\programfiles\python37\lib\site-packages,pip
pickleshare,0.7.5,d:\programfiles\python37\lib\site-packages,pip
Pillow,6.1.0,d:\programfiles\python37\lib\site-packages,pip
pip,20.1,d:\programfiles\python37\lib\site-packages,pip
plotly,4.6.0,d:\programfiles\python37\lib\site-packages,pip
pluggy,0.13.1,d:\programfiles\python37\lib\site-packages,pip
ply,3.11,d:\programfiles\python37\lib\site-packages,pip
pony,0.7.11,d:\programfiles\python37\lib\site-packages,pip
prettytable,0.7.2,d:\programfiles\python37\lib\site-packages,pip
prometheus-client,0.7.1,d:\programfiles\python37\lib\site-packages,pip
prompt-toolkit,3.0.5,d:\programfiles\python37\lib\site-packages,pip
protobuf,3.9.1,d:\programfiles\python37\lib\site-packages,pip
py,1.8.0,d:\programfiles\python37\lib\site-packages,pip
pyasn1,0.4.7,d:\programfiles\python37\lib\site-packages,pip
pyasn1-modules,0.2.6,d:\programfiles\python37\lib\site-packages,pip
pycodestyle,2.5.0,d:\programfiles\python37\lib\site-packages,pip
pycparser,2.19,d:\programfiles\python37\lib\site-packages,pip
PyDispatcher,2.0.5,d:\programfiles\python37\lib\site-packages,pip
pyecharts,1.7.1,d:\programfiles\python37\lib\site-packages,pip
pygal,2.4.0,d:\programfiles\python37\lib\site-packages,pip
pygal-maps-world,1.0.2,d:\programfiles\python37\lib\site-packages,pip
pygame,1.9.6,d:\programfiles\python37\lib\site-packages,pip
Pygments,2.6.1,d:\programfiles\python37\lib\site-packages,pip
PyHamcrest,1.9.0,d:\programfiles\python37\lib\site-packages,pip
PyInstaller,3.5,d:\programfiles\python37\lib\site-packages,pip
pylint,2.4.3,d:\programfiles\python37\lib\site-packages,pip
pymongo,3.9.0,d:\programfiles\python37\lib\site-packages,pip
PyMySQL,0.9.3,d:\programfiles\python37\lib\site-packages,pip
pyOpenSSL,19.0.0,d:\programfiles\python37\lib\site-packages,pip
pyparsing,2.4.2,d:\programfiles\python37\lib\site-packages,pip
PyPDF2,1.26.0,d:\programfiles\python37\lib\site-packages,pip
pypiwin32,223,d:\programfiles\python37\lib\site-packages,pip
pypng,0.0.20,d:\programfiles\python37\lib\site-packages
pyproj,2.6.0,d:\programfiles\python37\lib\site-packages,pip
PyQRCode,1.2.1,d:\programfiles\python37\lib\site-packages
pyrsistent,0.16.0,d:\programfiles\python37\lib\site-packages,pip
pyshp,2.1.0,d:\programfiles\python37\lib\site-packages,pip
pytesseract,0.3.0,d:\programfiles\python37\lib\site-packages,pip
pytest,5.3.0,d:\programfiles\python37\lib\site-packages,pip
pytest-pylint,0.14.1,d:\programfiles\python37\lib\site-packages,pip
python-dateutil,2.8.1,d:\programfiles\python37\lib\site-packages,pip
PythonMagick,0.9.19,d:\programfiles\python37\lib\site-packages,pip
pytz,2019.2,d:\programfiles\python37\lib\site-packages,pip
pywifi,1.1.12,d:\programfiles\python37\lib\site-packages,pip
pywin32,227,d:\programfiles\python37\lib\site-packages,pip
pywin32-ctypes,0.2.0,d:\programfiles\python37\lib\site-packages,pip
pywinpty,0.5.7,d:\programfiles\python37\lib\site-packages,pip
PyYAML,5.1.2,d:\programfiles\python37\lib\site-packages,pip
pyzmq,19.0.0,d:\programfiles\python37\lib\site-packages,pip
qtconsole,4.7.2,d:\programfiles\python37\lib\site-packages,pip
QtPy,1.9.0,d:\programfiles\python37\lib\site-packages,pip
queuelib,1.5.0,d:\programfiles\python37\lib\site-packages,pip
removebg,0.3,d:\programfiles\python37\lib\site-packages,pip
requests,2.22.0,d:\programfiles\python37\lib\site-packages,pip
retrying,1.3.3,d:\programfiles\python37\lib\site-packages
schedule,0.6.0,d:\programfiles\python37\lib\site-packages,pip
scikit-learn,0.22.2.post1,d:\programfiles\python37\lib\site-packages,pip
scipy,1.3.1,d:\programfiles\python37\lib\site-packages,pip
Scrapy,1.7.3,d:\programfiles\python37\lib\site-packages,pip
seaborn,0.9.0,d:\programfiles\python37\lib\site-packages,pip
selenium,3.141.0,d:\programfiles\python37\lib\site-packages,pip
Send2Trash,1.5.0,d:\programfiles\python37\lib\site-packages,pip
service-identity,18.1.0,d:\programfiles\python37\lib\site-packages,pip
setuptools,46.1.3,d:\programfiles\python37\lib\site-packages,pip
simplejson,3.16.0,d:\programfiles\python37\lib\site-packages,pip
six,1.14.0,d:\programfiles\python37\lib\site-packages,pip
soupsieve,1.9.3,d:\programfiles\python37\lib\site-packages,pip
SQLAlchemy,1.3.10,d:\programfiles\python37\lib\site-packages,pip
sqlparse,0.2.4,d:\programfiles\python37\lib\site-packages,pip
statsmodels,0.10.1,d:\programfiles\python37\lib\site-packages,pip
TA-Lib,0.4.17,d:\programfiles\python37\lib\site-packages,pip
tabulate,0.8.6,d:\programfiles\python37\lib\site-packages,pip
tensorboard,1.14.0,d:\programfiles\python37\lib\site-packages,pip
tensorflow,1.14.0,d:\programfiles\python37\lib\site-packages,pip
tensorflow-estimator,1.14.0rc1,d:\programfiles\python37\lib\site-packages,pip
termcolor,1.1.0,d:\programfiles\python37\lib\site-packages
terminado,0.8.3,d:\programfiles\python37\lib\site-packages,pip
terminaltables,3.1.0,d:\programfiles\python37\lib\site-packages,pip
testpath,0.4.4,d:\programfiles\python37\lib\site-packages,pip
tornado,6.0.4,d:\programfiles\python37\lib\site-packages,pip
tqdm,4.44.1,d:\programfiles\python37\lib\site-packages,pip
traitlets,4.3.3,d:\programfiles\python37\lib\site-packages,pip
tushare,1.2.54,d:\programfiles\python37\lib\site-packages,pip
Twisted,19.7.0,d:\programfiles\python37\lib\site-packages,pip
typed-ast,1.4.0,d:\programfiles\python37\lib\site-packages,pip
urllib3,1.25.3,d:\programfiles\python37\lib\site-packages,pip
visitor,0.1.3,d:\programfiles\python37\lib\site-packages,pip
w3lib,1.21.0,d:\programfiles\python37\lib\site-packages,pip
Wave,0.0.2,d:\programfiles\python37\lib\site-packages,pip
wcwidth,0.1.9,d:\programfiles\python37\lib\site-packages,pip
webencodings,0.5.1,d:\programfiles\python37\lib\site-packages,pip
websocket-client,0.57.0,d:\programfiles\python37\lib\site-packages,pip
Werkzeug,0.15.6,d:\programfiles\python37\lib\site-packages,pip
wheel,0.33.6,d:\programfiles\python37\lib\site-packages,pip
widgetsnbextension,3.5.1,d:\programfiles\python37\lib\site-packages,pip
wordcloud,1.5.0,d:\programfiles\python37\lib\site-packages,pip
wrapt,1.11.1,d:\programfiles\python37\lib\site-packages
xlrd,1.2.0,d:\programfiles\python37\lib\site-packages,pip
xmltodict,0.12.0,d:\programfiles\python37\lib\site-packages,pip
yarl,1.3.0,d:\programfiles\python37\lib\site-packages,pip
yellowbrick,1.0.post1,d:\programfiles\python37\lib\site-packages,pip
you-get,0.4.1410,d:\programfiles\python37\lib\site-packages,pip
zipp,3.1.0,d:\programfiles\python37\lib\site-packages,pip
zope.interface,4.6.0,d:\programfiles\python37\lib\site-packages,pip
